,HEI,aMED,DASH,mean_dds,mean_shannon_diversity_kcal,mean_berger_parker_kcal,mean_simpson_diversity_kcal,mean_gini_simpson_diversity_kcal,mean_quantidd_kcal,mean_mfad_jaccard_kcal,protein_eaten,fat_eaten,carb_eaten,fiber_eaten,alcohol_eaten,beta_carotene_eaten,folate_eaten,iron_eaten,magnesium_eaten,niacin_eaten,pantothenic_acid_eaten,cholesterol_eaten,fatty_acids_monounsaturated_eaten,fatty_acids_polyunsaturated_eaten,fatty_acids_saturated_eaten,calcium_eaten,phosphorus_eaten,potassium_eaten,sodium_eaten,zinc_eaten,vitamin_b1_eaten,vitamin_b12_eaten,vitamin_b2_eaten,vitamin_b6_eaten,vitamin_c_eaten,vitamin_d_eaten,salt_eaten,sugar_eaten,meat_fg_eaten,fruits_fg_eaten,vegetables_fg_eaten,dairy_fg_eaten,bread_fg_eaten,oils_nuts_fg_eaten,coffee_fg_eaten,others_fg_eaten,sugary_fg_eaten,grains_cereals_fg_eaten,fast_food_fg_eaten,water_fg_eaten,tea_fg_eaten,alcohol_fg_eaten,vegan_fg_eaten,CV_HEI,CV_energy_kcal_eaten,CV_energy_kj_eaten,CV_carb_eaten,CV_fat_eaten,CV_protein_eaten,CV_fiber_eaten,CV_alcohol_eaten,CV_beta_carotene_eaten,CV_calcium_eaten,CV_cholesterol_eaten,CV_fatty_acids_monounsaturated_eaten,CV_fatty_acids_polyunsaturated_eaten,CV_fatty_acids_saturated_eaten,CV_folate_eaten,CV_iron_eaten,CV_magnesium_eaten,CV_niacin_eaten,CV_pantothenic_acid_eaten,CV_phosphorus_eaten,CV_potassium_eaten,CV_salt_eaten,CV_sodium_eaten,CV_sugar_eaten,CV_vitamin_b1_eaten,CV_vitamin_b12_eaten,CV_vitamin_b2_eaten,CV_vitamin_b6_eaten,CV_vitamin_c_eaten,CV_vitamin_d_eaten,CV_zinc_eaten,CV_meat_fg_eaten,CV_fruits_fg_eaten,CV_vegetables_fg_eaten,CV_dairy_fg_eaten,CV_sugary_fg_eaten,CV_oils_nuts_fg_eaten,CV_coffee_fg_eaten,CV_grains_cereals_fg_eaten,CV_others_fg_eaten,CV_fast_food_fg_eaten,CV_bread_fg_eaten,CV_vegan_fg_eaten,CV_water_fg_eaten,CV_alcohol_fg_eaten,CV_tea_fg_eaten,age,bmi,bmr,height,weight,language,urbanity,swiss_citizen,eaten_quantity_in_gram,energy_kcal_eaten,dairy_products_meat_fish_eggs_tofu,vegetables_fruits,sweets_salty_snacks_alcohol,non_alcoholic_beverages,grains_potatoes_pulses,oils_fats_nuts
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster bolteae,,,,0.0013655942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus_A_346120;s__Lactococcus_A_346120 lactis_346025,,,,,0.002920901,0.002879891,,,0.0030181115,,,,,,,,,,,,,,,,,0.003445748,0.0030232249,,,0.0028540033,,,,,,,,,,,,0.0035574203,,,,,,0.0027822242,,,,,,,,,,,,,,,,,0.0027092146,,,,,,,,,,,,,,,,,,,,,,,0.0036730005,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis,,,,,,0.003629426,0.0029427093,,,,,,,,,,,,,,,,,,,,,,0.0030169385,,,,,,,,,,,,,,,,,,,,0.0037285741,,,,,,,,,,,,,0.0030210214,,,,,,,,,,,,0.003196734,,,,,,,,,,,,,,,,,,,,0.0036576889,,,,,,,,,,,,,,,,,0.003758071,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__TWA4;s__TWA4 sp000875945,,,,,,0.0034151867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0038637863
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__CAG-603;s__CAG-603 sp900066105,,,,,,0.0032306318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002931056,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013353241,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum_189125;s__Anaerotignum lactatifermentans,,,,,,0.0028937636,,,0.0028253272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A_141781;s__Blautia_A_141781 hydrogenotrophica,,,,,,0.0028808706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0031235334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029829298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella_A;s__Veillonella_A atypica,,,,,,0.0028772987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_B_370539;c__Peptococcia;o__Peptococcales;f__BICA1-8;g__BICA1-8;s__,,,,,,,0.0028662686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003095327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030771361,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__Vescimonas;s__Vescimonas fastidiosa,,,,,,,0.0028398333,0.0027297752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Eubacteriales_45227;f__Oscillospiraceae_45227;g__Ructibacterium;s__Ructibacterium gallinarum,,,,,,,0.0013568703,0.0013524512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania;s__Holdemania massiliensis,,,,,,,,0.0013702884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029523051,,,,,,,,,,,,,,0.0027570426,,,,,,,,,,,,,,,,,,,,,,,0.0033663653,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella_A;s__Veillonella_A tobetsuensis,,,,,,,,,0.002863984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Christensenellales;f__CAG-74;g__SFMI01;s__SFMI01 sp004556155,,,,,,,,,0.0028598448,,,,,,,,,,,,,,,,,,,0.0029680866,,,,,,,,,,,,,,,,,,,,,,,,0.003296598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0027132914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__Lawsonibacter;s__,,,,,,,,,,0.0032924232,,,0.0030353311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032641408,,,,,,,,,,,,,,0.0030349959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029480201,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Stercorousia;s__,,,,,,,,,,,0.0030048485,,,,,,,,,,,,,,0.0030585048,0.002896109,,,,,,,,,,,0.003088564,,,,,,0.0029762066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003286049,,0.0029916542,,,,,0.0029089805,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Copromonas;s__Copromonas sp000435795,,,,,,,,,,,0.002929804,,,0.0034482535,,,,,,0.0032992822,,0.0031501737,,,,,,,,,,0.0039786324,,,,,,,0.003445729,,,,,,,,,,,,,,,,,,,,,,,,,0.002897059,,,,,,,,,,,,,,,,,,,,,0.0029053497,,,,,,,0.0028277722,,,,,,,,,,,,,,,,,,0.0034738933,,,,0.0041088453,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Peptostreptococcaceae_256921;g__Romboutsia_B;s__Romboutsia_B ilealis,,,,,,,,,,,0.0028725404,,,,,,,,,0.0029779521,,0.0033493503,,,,,,,0.0029461598,,,,,,,0.003311783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026151664,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q_135822;s__Clostridium_Q_135822 fessum,,,,,,,,,,,0.002864002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002979751,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Massilistercora;s__Massilistercora timonensis,,,,,,,,,,,0.0013686348,,,,,,,,,,,,,,0.0029562027,,,,,,,,,,,,0.0031612436,,,,,,,,,,,0.0028021173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Clostridiales;f__Clostridiaceae_222000;g__Clostridium_T;s__Clostridium_T paraputrificum_207370,,,,,,,,,,,,0.0030378164,,,,,,,,,,,0.0031517702,,0.0029928917,,,,,,,,,,,,,,,,,,,,0.004094567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Acutalibacteraceae;g__Clostridium_A;s__Clostridium_A leptum,,,,,,,,,,,,0.0028006898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Acutalibacteraceae;g__Anaeromassilibacillus;s__Anaeromassilibacillus sp001305115,,,,,,,,,,,,0.00275945,,,,,,,,,0.002866006,,,,0.0028698412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas faecihominis,,,,,,,,,,,,0.0027458165,,,,,,,,,,,,,,,,,,,,,,,,,,0.0027091987,,,,,,,,,,,,,,,0.0029495535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium_388775;s__Bifidobacterium breve,,,,,,,,,,,,,0.003736693,,,,,,,,,,,,,,,,0.0037135717,,,,,,,,,,,,,,0.0050362777,0.0031957938,,,0.0028224536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003534856,,,,,0.002824869,,,,,,,,,,,,,,0.0038904469,,,,,,,,,,,,,,,,,,,0.0033759656,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Acutalibacteraceae;g__Hydrogeniiclostridium;s__,,,,,,,,,,,,,0.0036454576,0.0032025105,,,,,,,,,,0.0030982215,,,,,,,,,,,,,,0.0029428834,0.0014317064,,,,,,,,,,,,,,0.0036069015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001364798,,,,,,,,,,,,,,,,,,,,,,0.0034349672,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter_A_155507;s__Mediterraneibacter_A_155507 cottocaccae,,,,,,,,,,,,,0.0033228244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0027237968,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__Intestinimonas;s__Intestinimonas butyriciproducens,,,,,,,,,,,,,0.002977362,,,,,,,,,,,,,,,,,,0.0031381557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis,,,,,,,,,,,,,0.0014250313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0028449912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter_A_155507;s__Mediterraneibacter_A_155507 torques,,,,,,,,,,,,,,0.004921551,,,,,,,,0.0030896724,,,,,,,,,,,,,,,,,0.0035791781,,0.0040180814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0028185928,0.003177151,,,,,,,,0.003224414,,,,,,,,,,,,,,,0.0032944921,,,0.0029923185,,,,,,0.0034377952,0.0032717972,,,,
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Merdibacter;s__Merdibacter massiliensis,,,,,,,,,,,,,,0.0035211183,,,,0.0030159373,,,,,,,,,,,,,,,,,,,,,,,0.0030350955,,,,,,,,,,,,0.0041086003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0031392148,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__Phocea;s__,,,,,,,,,,,,,,0.0034128411,,0.0028741425,,,,,,,,,,,,,,,,,,,,,,,0.003803048,,,,,0.0036659776,,,,,,,,,,,,,,,,,,,,,,,,0.002656471,,,,,,,,,0.0030788793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003193329,,,,0.0032836208
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Schaalia odontolytica,,,,,,,,,,,,,,0.0031628606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002795698,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__;s__,,,,,,,,,,,,,,,0.0030524826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0033603841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003201689,,,,,,,,,,,,,,,
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Gabonibacter;s__Gabonibacter massiliensis,,,,,,,,,,,,,,,0.0029838004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0027464847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026714406,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp003491505,,,,,,,,,,,,,,,,0.0030199655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger_A_73129;s__,,,,,,,,,,,,,,,,0.0029033874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002905894,,,,,,,,,,,,,0.003012572,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A_871400;s__Alistipes_A_871400 dispar,,,,,,,,,,,,,,,,0.002888548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__Faecalitalea cylindroides,,,,,,,,,,,,,,,,0.0028473549,,,,,,,,,,,,,,,,,,,0.0029912423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002937492,0.0028363592,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens,,,,,,,,,,,,,,,,,0.0033211783,,,,,,,,,,,,,,,,,,0.003645586,,,,,0.0031298958,0.003136059,,,,,,0.002839474,,,,,,,,,,,,,,,0.003163245,,,,,,,,,,,,,,,,,,,,,,,,0.0033915015,,,,,,,,,,,,,,,,,,,,,,,,,0.004303064,,,,
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium_388775;s__Bifidobacterium bifidum,,,,,,,,,,,,,,,,,0.0031114027,,,,,,,,,,,0.0014401451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0028681085,,,,,,,,,,,,,,,,,,,,,,0.002758009,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Catonella;s__Catonella morbi,,,,,,,,,,,,,,,,,,0.0037351344,0.0032611834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002758836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A_141780;s__Blautia_A_141780 stercoris,,,,,,,,,,,,,,,,,,0.0033747586,,,,,0.0033061851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002851715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0031776736,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__CAG-353;s__CAG-353 sp900066885,,,,,,,,,,,,,,,,,,,0.0029456175,,,,,,,,,0.0030397454,,,,,,,,,,,,,,0.0028307731,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0028026341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A_187866;s__,,,,,,,,,,,,,,,,,,,,0.0031732987,,,0.0027871006,,,,,,,0.0028456892,,0.0033846805,,,,0.0033061216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia_404257;s__Adlercreutzia equolifaciens,,,,,,,,,,,,,,,,,,,,0.0028235945,,,,,,,,,,0.0028951587,,,,,,0.002846331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0027837483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025319518,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Muricomes_149725;s__Faecalicatena fissicatena,,,,,,,,,,,,,,,,,,,,0.0028194692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides_B_862066;s__Parabacteroides_B_862066 distasonis,,,,,,,,,,,,,,,,,,,,,0.0030543504,,,,,,,,,,,,0.002796624,,,,,,,,,,,,,,,,,0.0030145873,,,,,0.0028504427,0.0028853999,0.002837204,,,,0.002931482,,,,,,,,,,,,,,,,,,,0.0013155189,,,,,,,,,,,,,,,,,,,,,,,,,0.0040290556,,,,,,,,,,
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella sp000564995,,,,,,,,,,,,,,,,,,,,,0.0029579133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__Mailhella massiliensis,,,,,,,,,,,,,,,,,,,,,0.0028200147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003664135,,,,,,,,,0.0028896567,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__RUG115;s__RUG115 sp900066395,,,,,,,,,,,,,,,,,,,,,0.0027247001,,,,,0.0028121998,,,,,,,,,,,,,,,,,,,0.0030191052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mutans,,,,,,,,,,,,,,,,,,,,,0.0013276476,,,,,,,,0.002827018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__Bulleidia moorei,,,,,,,,,,,,,,,,,,,,,0.0013144424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0028854373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Christensenellales;f__CAG-74;g__Onthenecus;s__,,,,,,,,,,,,,,,,,,,,,,0.002840838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032974265,,,,,,0.002906355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__;s__,,,,,,,,,,,,,,,,,,,,,,0.0027211492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004022709,,,,,,,,,,,,,,,
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Senegalimassilia;s__Senegalimassilia faecalis,,,,,,,,,,,,,,,,,,,,,,,0.0028775746,,,,,,,,,0.0028372104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0033254258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_H;s__Bacteroides_H nordii,,,,,,,,,,,,,,,,,,,,,,,0.0027820854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013227535,,,,,,,,,,0.002904289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta,,,,,,,,,,,,,,,,,,,,,,,,0.0032172343,,,,,,,,,,,,,0.0027192368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032239244,,,,,,0.002913652,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__Limivicinus;s__Limivicinus sp002320035,,,,,,,,,,,,,,,,,,,,,,,,0.0030570622,,,,,,,,,,,,,,,,,,,,0.0031806128,,,,,,,,,,,,,,,,0.0033812178,,,,,,,,0.0027759855,,,0.002847195,,,0.002975418,,,,,,,,0.0027938168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0031789052
